"TSP","C.loss_Ma1","N.loss_Ma1","C.loss_Mi1","N.loss_Mi1","C.loss_CG","N.loss_CG","Castanea.henryi","Nyssa.sinensis","Liquidambar.formosana","Quercus.fabri","Lithocarpus.glaber","Quercus.serrata","Castanopsis.sclerophylla","Choerospondias.axillaris","Sapium.sebiferum","Koelreuteria.bipinnata","Sapindus.mukorossi","Cyclobalanopsis.glauca","Shima.Superba","Castanopsis.Myl","Rhus","Quercus.ac","Alniphylium","Cast.faargesii"
"186-S10",93.1968271831975,94.5342139399305,39.6989172822191,50.0863388367589,35.1777792432921,48.6070076394055,8.36,23.6,25.04,0,0,0,0,142.66,2.25,0,10.38,0,0,0,0,0,0,0
"187-P27",46.0030295673839,58.2555745166472,50.7546183804627,61.4176799815748,32.8224426141751,42.2324618938736,0,0,0.99,0,8.36,0,0,6.8,0,76.35,0,27.86,0,0,10.12,0,0,0
"188-S10",91.397807644878,94.9371320778387,55.2580771755312,75.1562928805365,48.3273630003293,48.2940323981725,8.52,49.26,3.88,0,0,0,0,71.96,7.85,0,6.04,0,0,0,0,0,0,0
"189-S10",76.7597434572312,86.1363183315287,42.3017467397785,51.8898566759158,41.6421160011215,49.3260926101004,23.31,23.83,19.62,0,0,0.03,0,145.48,0,0,6.65,0,0,0,0,0,0,0
"190-R16",81.5848034290131,100,63.2701968021057,100,40.0140900060839,50.3262432880073,73.41,5.25,3.86,0,0,0,0.12,92.36,3.59,0,3.48,0,0,0,0,0,0,0
"191-T15",39.9495193750501,60.101485234234,41.9589495602773,61.5845639236401,41.1436806647683,54.3035152937755,0,0,0,4.18,3.44,0,0,0,0,0,0,0.35,16.9,0,0,0,0,2.76
"193-R16",57.9873732423196,74.4536964273666,40.9901603513788,57.0263399611798,33.3428306492975,48.8097622918518,1.93,0.73,23.38,0,0,0.07,3.19,86.81,8.37,0,4.31,0,0,0,0,0,0,0
"194-R16",65.3710243346765,68.1487980406552,54.11529037267,60.0687118562262,48.143560963924,46.5465902356983,127.16,0.53,0.47,0,0,1.13,0,60.52,2.38,0,1.29,0,0,0,0,0,0,0
"197-S10",81.5475426128707,89.6238177001392,73.228085035267,83.5798129627365,45.7817518911529,54.6996313375064,28.86,10.78,13.78,0,0,0,0,161.81,0.11,0,3.1,0,0.14,0,0,0,0,0
"198-R16",63.6237384635923,81.9887609765595,49.8055589343374,61.1792184176975,43.4357805756729,46.1588382736707,6.37,7.93,20.06,0,0,2.23,0,129.59,10.21,0,7.8,0,0,0,0,0,0,0
