"TSP","plot","species","biomass","dist","db","n.rich"
"14-K9","K9","Cyclobalanopsis glauca",0.0806458991736301,11.7394692220792,0.00686963760013562,1
"140-V12/W12","V12/W12","Cyclobalanopsis myrsinaefolia",0.00352109910332391,0.707106781186547,0.00497958610638042,4
"140-V12/W12","V12/W12","Koelreuteria bipinnata",0.012123742864597,2,0.0060618714322985,4
"140-V12/W12","V12/W12","Lithocarpus glaber",0.030761327589345,4.26820063885313,0.00720709502485117,4
"140-V12/W12","V12/W12","Rhus chinensis",0.00391503619295527,0.707106781186547,0.00553669728125887,4
"141-P29","P29","Liquidambar formosana",0.00855789079249788,6.30864075337301,0.00135653481107198,3
"141-P29","P29","Nyssa sinensis",0.00496991293811011,0.707106781186547,0.00702851828088883,3
"141-P29","P29","Sapindus mukorossi",0.00642657522942243,2.9348673055198,0.0021897328091582,3
"142-P29","P29","Castanea henryi",0.00110573216701643,0.707106781186547,0.00156374142694683,4
"142-P29","P29","Liquidambar formosana",0.0439861407874226,5.86973461103959,0.00749371883094936,4
"142-P29","P29","Nyssa sinensis",0.0232592237497833,2.66666666666667,0.00872220890616874,4
"142-P29","P29","Sapindus mukorossi",0.00147816526265819,0.894427190999916,0.00165263900464127,4
"143-P19","P19","Liquidambar formosana",0.00979240381955024,4.04044011451988,0.00242359830662008,3
"143-P19","P19","Nyssa sinensis",0.0340005441580935,2.30864075337301,0.0147275162272075,3
"143-P19","P19","Sapindus mukorossi",0.00456016728635881,4.49596116318638,0.00101428084470528,3
"147-P29","P29","Castanea henryi",0.0199654886349979,3.56109385766658,0.00560656063361394,4
"147-P29","P29","Liquidambar formosana",0.00567435981126688,2.26820063885313,0.0025017010021371,4
"147-P29","P29","Nyssa sinensis",0.00300031722437299,2,0.0015001586121865,4
"147-P29","P29","Sapindus mukorossi",0.00444324158263047,1.4142135623731,0.00314184625352806,4
"148-P19","P19","Castanea henryi",0.019226883032983,0.666666666666667,0.0288403245494745,4
"148-P19","P19","Liquidambar formosana",0.00411978371588757,4.80460191655939,0.000857466193336112,4
"148-P19","P19","Nyssa sinensis",0.0336900039087219,3.56109385766658,0.00946057735495839,4
"148-P19","P19","Sapindus mukorossi",0.00160848117990346,2.70710678118655,0.000594169831453211,4
"149-N8","N8","Cyclobalanopsis glauca",0.000819872958190077,2,0.000409936479095039,4
"149-N8","N8","Quercus fabri",0.000147641810965997,2,7.38209054829985e-05,4
"149-N8","N8","Rhus chinensis",0,1.60153397218646,0,4
"149-N8","N8","Schima superba",0.047527290403283,2.26820063885313,0.0209537417409926,4
"15-R14","R14","Cyclobalanopsis glauca",0.00745391361121624,11.0323624408926,0.000675640747949642,1
"150-U15","U15","Cyclobalanopsis glauca",0.00256310529824816,0.707106781186547,0.00362477827457289,3
"150-U15","U15","Quercus fabri",0.00106906398471261,5.37377344785321,0.000198941022558309,3
"150-U15","U15","Schima superba",0.0169228422494462,0.707106781186547,0.0239325130230672,3
"153-F27","F27","Castanopsis sclerophylla",0.000238130845004262,0.894427190999916,0.000266238378484498,4
"153-F27","F27","Choerospondias axillaris",0.107663975380675,4.30864075337301,0.0249879211434349,4
"153-F27","F27","Quercus serrata",0.0206100210478126,4.08088022903976,0.00505038616452172,4
"153-F27","F27","Sapium sebiferum",0.000332023861329271,1.56109385766658,0.000212686674602357,4
"154-N20","N20","Castanopsis sclerophylla",0.000293658698714822,2.66666666666667,0.000110122012018058,4
"154-N20","N20","Choerospondias axillaris",0.172609136450555,4.05705502085296,0.0425454265627053,4
"154-N20","N20","Quercus serrata",0.000648005925634151,4.30864075337301,0.000150396833415935,4
"154-N20","N20","Sapium sebiferum",0.000474400203705508,0.707106781186547,0.000670903202072889,4
"155-N20","N20","Castanopsis sclerophylla",0.0021042447943891,0.707106781186547,0.00297585152677805,3
"155-N20","N20","Choerospondias axillaris",0.271865908203865,2.49596116318638,0.108922331089798,3
"155-N20","N20","Quercus serrata",0.00337489365727473,7.82929449651971,0.000431059740922371,3
"156-N20","N20","Choerospondias axillaris",0.0715987717773557,2.30864075337301,0.0310133881474401,3
"156-N20","N20","Quercus serrata",0.0029860277754238,2.89442719099992,0.00103164722357111,3
"156-N20","N20","Sapium sebiferum",0.00036875699220918,3.37377344785321,0.000109301053526231,3
"159-P29","P29","Castanea henryi",0.0152618898228681,4.49596116318638,0.00339457777078565,4
"159-P29","P29","Liquidambar formosana",0.00240029710360694,1.56109385766658,0.00153757385683058,4
